,Order,Family,Genus,Species,CommonName,TypeLocality
12606,artiodactyla,cervidae,alces,alces,Eurasian Elk,"""Habitat in boroealibus Europae, Asiaeque Populetis""; identified as Sweden by Thomas (1911<i>a</i>:151)."
12615,artiodactyla,cervidae,capreolus,capreolus,European Roe,"""Habitat in Europa, Asia""; identified as Sweden by Thomas (1911<i>a</i>:151)."
12676,artiodactyla,cervidae,odocoileus,virginianus,White-tailed Deer,"""Bewohnt in grossen Heerden Carolina v), Virginien, Louisiana w), und geht vielleicht bis Panama x) hinunter""; restricted by Hershkovitz (1948<i>c</i>:43) to USA, Virginia."
12750,artiodactyla,cervidae,cervus,elaphus,Red Deer (see comments),"""Habitat in Europa, Asia""; identified as S Sweden by Thomas (1911<i>a</i>:151)."
12787,artiodactyla,cervidae,dama,dama,Fallow Deer,"""Habitat in Europa""; identified as ""Habitat in vivariis Regis &amp; Magnatum"" by Thomas (1911<i>a</i>:151), in Sweden to which it had been introduced."
12822,artiodactyla,cervidae,muntiacus,truongsonensis,Annamite Muntjac,"Vietnam, ""in the west of Quang Nam province""; ""collected from four houses in three locations in Hien District, West Quang Nam Province, Vietnam  The three locations are: Hien, the District capital, A Tin village, and A Plo village (15°56'59''N, 107°34'18''E)"" (Giao et al., 1998). The type locality is one of these three places."
12835,artiodactyla,cervidae,rucervus,schomburgki,Schomburgk's Deer,"""probably inhabiting Siam [Thailand]""; occurrence in central plains of Thailand since confirmed."
12837,artiodactyla,cervidae,rusa,alfredi,Visayan Spotted Deer,"""transmitted  from Singapore  Hab. Malayan peninsula, or adjoining islands (?)""; ""Philippines, the type specimen having been received from Manila"" (Lydekker, 1915:63)."
12895,artiodactyla,bovidae,alcelaphus,buselaphus,Hartebeest,"No locality cited but the name is based on ""Le bubale"" of Buffon, ""en Barbarie &amp; dans toutes les parties septentrionales de l'Afrique"", and on other sources. Restricted to Barbary by designation of the ""Vache de Barbarie"" of Perrault as the lectotype (Ruxton and Schwarz, 1929:575). Further restricted to Morocco (Lydekker, 1914<i>a</i>:5)."
12923,artiodactyla,bovidae,damaliscus,superstes,Bangweulu Tsessebe,"""Muku Muku Flats, Luapala Province, north east Zambia 12°21'S; 30°00'E""."
12946,artiodactyla,bovidae,eudorcas,thomsonii,Thomson's Gazelle,"""the range of country from Kilimanjaro to Baringo and at various heights above 6000' [1829 m]""; restricted to ""Kilimanjaro district"" (Lydekker, 1914<i>b</i>:84) in Kenya (G. M. Allen, 1939:526)."
12961,artiodactyla,bovidae,gazella,dorcas,Dorcas Gazelle,"""Habitat in Africa""; restricted to Lower Egypt by Blaine (1913:292), west of the Nile River (Osborn and Helmy, 1980:508)."
13103,artiodactyla,bovidae,pseudoryx,nghetinhensis,Siola,"""Vu Quang Nature Reserve, Vietnam 105°25'E by 18°15'N""."
13174,artiodactyla,bovidae,capra,hircus,Goat,"""Habitat in montosis""; identified as Sweden (Thomas, 1911<i>a</i>:152), based on domesticated stock."
13182,artiodactyla,bovidae,capra,nubiana,Nubian Ibex,"Egypt, ""de la Haute-Égypte  ou de Nubie""; Nubia (Lydekker, 1913:153; G. M. Allen, 1939:549) or Upper Egypt (Ellerman and Morrison-Scott, 1951:407), which are virtually synonymous; here restricted to Sudan, Northern Prov., Nubian Desert, east of Nile River."
